,coin,acc_trade_vol,traded_time,traded_price,ask_bid,high,dev,24h_vol
147,KRW-BTC,5750.51361423,1714500403.244011,86874000.0,BID,92540000.0,1.993012126970442e-16,577517808937.0522
148,KRW-DOGE,433526320.1994166,1714500403.294294,191.1,ASK,209.1,-9.97801058300291e-10,99111733672.55426
149,KRW-BTC,5750.51666913,1714500403.495021,86874000.0,BID,92540000.0,5.289707006441906e-15,577517808937.0522
150,KRW-ETH,31125.21660449,1714500403.804426,4290000.0,BID,4653000.0,2.830330759762911e-12,156480099887.04108
151,KRW-ETH,31125.21986789,1714500403.98682,4290000.0,BID,4653000.0,2.0855048025021687e-14,156480099887.04108
152,KRW-TRX,91433903.75561382,1714500404.013483,171.0,BID,172.7,1.7210638251667046e-08,16989356032.653412
153,KRW-BCH,33952.70643589,1714500404.044072,616000.0,BID,673200.0,1.3302232833563264e-11,24386055639.140945
154,KRW-BTT,9436456689633.305,1714500404.0533829,0.00174,ASK,0.001885,-0.00624896123176465,18419731554.376778
155,KRW-WAVES,18967816.705077,1714500404.225292,3252.0,ASK,3763.0,-9.506010810372568e-10,88557014176.18356
156,KRW-WAVES,18967818.24289987,1714500404.230979,3252.0,ASK,3763.0,-1.7365342350132826e-11,88557014176.18356
157,KRW-WAVES,18968032.52268359,1714500404.23377,3251.0,ASK,3763.0,-2.4196816674024836e-09,88557014176.18356
158,KRW-BCH,33953.91034176,1714500404.8126562,615500.0,ASK,673200.0,-4.936861818945894e-11,24386055639.140945
159,KRW-BCH,33955.1008472,1714500404.818208,615500.0,ASK,673200.0,-4.881910619830214e-11,24386055639.140945
160,KRW-ONG,83789993.64813644,1714500404.8843908,859.7,ASK,938.8,-1.2533956877920648e-09,92814407577.15356
161,KRW-ONG,83790282.60395472,1714500404.888335,859.6,ASK,938.8,-3.113264694819909e-09,92814407577.15356
162,KRW-NEO,3884662.97423297,1714500405.025545,24270.0,ASK,27860.0,-9.729088904421931e-11,120112599179.49193
163,KRW-CRO,62922830.65330798,1714500405.285068,185.5,BID,200.0,2.3356542133775574e-07,12197867234.294498
164,KRW-NEO,3884665.76370606,1714500405.2909849,24260.0,ASK,27860.0,-2.3223817562655004e-11,120112599179.49193
165,KRW-NEO,3884669.05049826,1714500405.2940218,24270.0,ASK,27860.0,-2.7364258391803137e-11,120112599179.49193
166,KRW-SHIB,4751002046594.671,1714500405.303036,0.032,BID,0.03553,0.00012883475970450068,175019048457.69745
167,KRW-CRO,62924516.23217239,1714500405.323345,185.5,BID,200.0,1.3818635930644397e-07,12197867234.294498
168,KRW-BTG,174654.46992786,1714500405.4544482,43510.0,ASK,46200.0,-1.1798423803787078e-10,8475708421.992929
169,KRW-BTG,174658.46992786,1714500405.45981,43510.0,ASK,46200.0,-4.719369521514831e-10,8475708421.992929
170,KRW-BTC,5750.51672668,1714500405.495541,86874000.0,BID,92540000.0,9.96506063485221e-17,577517808937.0522
171,KRW-MASK,1229536.4224185,1714500405.631695,4408.0,ASK,4909.0,-6.267298113302171e-08,6318512265.429031
